	Cell type	Assay	Treatment	Assay type	Source	
1	8988T	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDuke8988tUniPk.narrowPeak.gz
2	AoSMC	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeAosmcUniPk.narrowPeak.gz
3	Chorion	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeChorionUniPk.narrowPeak.gz
4	CLL	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeCllUniPk.narrowPeak.gz
5	Fibrobl	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeFibroblUniPk.narrowPeak.gz
6	FibroP	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeFibropUniPk.narrowPeak.gz
7	Gliobla	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGlioblaUniPk.narrowPeak.gz
8	GM12891	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm12891UniPk.narrowPeak.gz
9	GM12892	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm12892UniPk.narrowPeak.gz
10	GM18507	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm18507UniPk.narrowPeak.gz
11	GM19238	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm19238UniPk.narrowPeak.gz
12	GM19239	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm19239UniPk.narrowPeak.gz
13	GM19240	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeGm19240UniPk.narrowPeak.gz
14	H9ES	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeH9esUniPk.narrowPeak.gz
15	HeLa-S3	DNase	IFNa4h	DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeHelas3ifna4hUniPk.narrowPeak.gz
16	Hepatocytes	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeHepatocytesUniPk.narrowPeak.gz
17	HPDE6-E6E7	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeHpde6e6e7UniPk.narrowPeak.gz
18	HSMM_emb	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeHsmmembUniPk.narrowPeak.gz
19	HTR8svn	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeHtr8svnUniPk.narrowPeak.gz
20	Huh-7.5	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeHuh75UniPk.narrowPeak.gz
21	Huh-7	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeHuh7UniPk.narrowPeak.gz
22	iPS	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeIpsUniPk.narrowPeak.gz
23	Ishikawa	DNase	Estradiol_100nM_1hr	DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeIshikawaestradiolUniPk.narrowPeak.gz
24	Ishikawa	DNase	4OHTAM_20nM_72hr	DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeIshikawatamoxifenUniPk.narrowPeak.gz
25	LNCaP	DNase	androgen	DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeLncapandrogenUniPk.narrowPeak.gz
26	MCF-7	DNase	Hypoxia_LacAcid	DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeMcf7hypoxiaUniPk.narrowPeak.gz
27	Medullo	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeMedulloUniPk.narrowPeak.gz
28	Melano	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeMelanoUniPk.narrowPeak.gz
29	Myometr	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeMyometrUniPk.narrowPeak.gz
30	Osteobl	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukeOsteoblUniPk.narrowPeak.gz
31	PanIsletD	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukePanisletdUniPk.narrowPeak.gz
32	PanIslets	DNase		DNase	ENCODE	./wgEncodeAwgDnaseUniform/wgEncodeAwgDnaseDukePanisletsUniPk.narrowPeak.gz
