id,symbol,seqnames,strand,TSS,CAGE_representative_TSS,type
ENSG00000000003,TSPAN6,chrX,-,99894988,99891748,protein_coding
ENSG00000000005,TNMD,chrX,+,99839799,99839933,protein_coding
ENSG00000000419,DPM1,chr20,-,49575092,49575069,protein_coding
ENSG00000000457,SCYL3,chr1,-,169863408,169863037,protein_coding
ENSG00000000460,C1orf112,chr1,+,169631245,169764186,protein_coding
ENSG00000000938,FGR,chr1,-,27961788,27961654,protein_coding
ENSG00000000971,CFH,chr1,+,196621008,196621174,protein_coding
ENSG00000001036,FUCA2,chr6,-,143832827,143832857,protein_coding
ENSG00000001084,GCLC,chr6,-,53481768,53409899,protein_coding
ENSG00000001167,NFYA,chr6,+,41040684,41040714,protein_coding
ENSG00000001460,STPG1,chr1,-,24743424,24740215,protein_coding
ENSG00000001461,NIPAL3,chr1,+,24742284,24742292,protein_coding
ENSG00000001497,LAS1L,chrX,-,64754655,64754667,protein_coding
ENSG00000001561,ENPP4,chr6,+,46097730,46097792,protein_coding
ENSG00000001617,SEMA3F,chr3,+,50192478,50192515,protein_coding
ENSG00000001626,CFTR,chr7,+,117105838,117120079,protein_coding
ENSG00000001629,ANKIB1,chr7,+,91875548,91875338,protein_coding
ENSG00000001630,CYP51A1,chr7,-,91772266,91763788,protein_coding
ENSG00000001631,KRIT1,chr7,-,91875480,91875228,protein_coding
ENSG00000002016,RAD52,chr12,-,1099219,1058808,protein_coding
ENSG00000002330,BAD,chr11,-,64052176,64052126,protein_coding
ENSG00000002549,LAP3,chr4,+,17578815,17579120,protein_coding
ENSG00000002586,CD99,chrX,+,2609220,2609367,protein_coding
ENSG00000002587,HS3ST1,chr4,-,11431389,11430518,protein_coding
ENSG00000002726,AOC1,chr7,+,150521715,150549606,protein_coding
ENSG00000002745,WNT16,chr7,+,120965421,120969054,protein_coding
ENSG00000002746,HECW1,chr7,+,43152198,43152246,protein_coding
ENSG00000002822,MAD1L1,chr7,-,2272878,2272547,protein_coding
ENSG00000002834,LASP1,chr17,+,37026112,37026311,protein_coding
ENSG00000002919,SNX11,chr17,+,46180719,46185139,protein_coding
ENSG00000002933,TMEM176A,chr7,+,150497491,150497886,protein_coding
ENSG00000003056,M6PR,chr12,-,9102551,9102241,protein_coding
ENSG00000003096,KLHL13,chrX,-,117251303,117250757,protein_coding
ENSG00000003137,CYP26B1,chr2,-,72375167,72371217,protein_coding
ENSG00000003147,ICA1,chr7,-,8302317,8301780,protein_coding
ENSG00000003249,DBNDD1,chr16,-,90086536,90085864,protein_coding
ENSG00000003393,ALS2,chr2,-,202645912,202645656,protein_coding
ENSG00000003400,CASP10,chr2,+,202047604,202047864,protein_coding
ENSG00000003402,CFLAR,chr2,+,201980827,201980904,protein_coding
ENSG00000003436,TFPI,chr2,-,188430487,188419162,protein_coding
ENSG00000003509,NDUFAF7,chr2,+,37458774,37458801,protein_coding
ENSG00000003756,RBM5,chr3,+,50126341,50126387,protein_coding
ENSG00000003987,MTMR7,chr8,-,17271037,17270816,protein_coding
ENSG00000003989,SLC7A2,chr8,+,17354597,17354597,protein_coding
ENSG00000004059,ARF5,chr7,+,127228399,127228465,protein_coding
ENSG00000004139,SARM1,chr17,+,26691378,26698715,protein_coding
ENSG00000004142,POLDIP2,chr17,-,26684545,26684506,protein_coding
ENSG00000004399,PLXND1,chr3,-,129325661,129325519,protein_coding
ENSG00000004455,AK2,chr1,-,33546597,33502480,protein_coding
ENSG00000004468,CD38,chr4,+,15779898,15779951,protein_coding
ENSG00000004478,FKBP4,chr12,+,2904119,2904160,protein_coding
ENSG00000004487,KDM1A,chr1,+,23345941,23345961,protein_coding
ENSG00000004534,RBM6,chr3,+,49977440,49977585,protein_coding
ENSG00000004660,CAMKK1,chr17,-,3798185,3796347,protein_coding
ENSG00000004700,RECQL,chr12,-,21654603,21654529,protein_coding
ENSG00000004766,VPS50,chr7,+,92861653,92861679,protein_coding
ENSG00000004776,HSPB6,chr19,-,36248980,36247930,protein_coding
ENSG00000004777,ARHGAP33,chr19,+,36265434,36266466,protein_coding
ENSG00000004779,NDUFAB1,chr16,-,23607677,23607637,protein_coding
ENSG00000004799,PDK4,chr7,-,95225803,95225828,protein_coding
ENSG00000004809,SLC22A16,chr6,-,110797844,110797815,protein_coding
ENSG00000004838,ZMYND10,chr3,-,50384283,50383163,protein_coding
ENSG00000004846,ABCB5,chr7,+,20654830,20686953,protein_coding
ENSG00000004848,ARX,chrX,-,25034065,25034079,protein_coding
ENSG00000004864,SLC25A13,chr7,-,95951459,95951380,protein_coding
ENSG00000004866,ST7,chr7,+,116593292,116593555,protein_coding
ENSG00000004897,CDC27,chr17,-,45266788,45266637,protein_coding
ENSG00000004939,SLC4A1,chr17,-,42345509,42345503,protein_coding
ENSG00000004948,CALCR,chr7,-,93204042,93204036,protein_coding
ENSG00000004961,HCCS,chrX,+,11129421,11129452,protein_coding
ENSG00000004975,DVL2,chr17,-,7137864,7137836,protein_coding
ENSG00000005001,PRSS22,chr16,-,2908171,2908171,protein_coding
ENSG00000005007,UPF1,chr19,+,18942747,18942768,protein_coding
